"filename", "language", "Astro", "comment", "blank", "total"
"/home/rogerio/Github/masterfuel/src/shared/components/Card.astro", "Astro", 59, 0, 3, 62
"/home/rogerio/Github/masterfuel/src/shared/includes/_footer.astro", "Astro", 0, 0, 1, 1
"/home/rogerio/Github/masterfuel/src/shared/includes/_head.astro", "Astro", 0, 0, 1, 1
"Total", "-", 59, 0, 5, 64
